,Comment ID,Comment,Likes,Replies
132,UgyMfOUMTiMvWI78x9l4AaABAg,Imagine the delusion of knowing shroud is in your lobby and being confident about beating him lol. Not that he’s unbeatable but respect the man at least,0,0
133,Ugz-QuFHM5Uzxg4nCvp4AaABAg,Shroud and Hiko Just nerfed the Sinatra forever 🤣🤣,5,0
134,Ugxi7TMaLIC6_oJsKDd4AaABAg,Surprised sinatra has the balls to show his face lmao,12,2
135,UgxVuYxCnsrR4fT4uMd4AaABAg,sinatra crying the whole time is actually hilarious,2,0
136,UgwT3hdFbnTY8PL4r6Z4AaABAg,"They were so depressed by round 8, mans absolutely defeated 😂",4,1
137,Ugy9r2apqnOHOhYyV-p4AaABAg,Them: Trash talks shroud and Hiko.<br>Also them: Gets absolutely stomped.<br>sinatraa: &quot;tHeY&#39;rE playINg ranked lIke it&#39;S A pRO MAtCH&quot;.,139,16
138,UgxgSBugr2H0-u6Puct4AaABAg,yeah this video was just what i needed man.....some one needs to give that editor a raise.,3,0
139,UgxQpdbC3VXifZjMMDp4AaABAg,best streamer content creator and player of all time❤️,13,1
140,UgyUTAIWNEv6Y1zE_hN4AaABAg,Shroud yours valorant gameplay gives us motivation to play this game yours content is so funny to watch 😇.<br>Edit part by yours editors so amazing.,5,0
141,UgyVh6AENdtS739iBqx4AaABAg,Shroud : SIT<br>Sinatra : ok,45,0
142,UgydbEPYOv8xbiFhmlx4AaABAg,The change from trash talking to saying they’re trying hard is hilarious,1,0
143,Ugy2O4bbhi8FoXEXEBZ4AaABAg,Shroud is the only guy who can put the champions trophy to use,0,0
144,UgxIDXWwcgoi5NFDYPZ4AaABAg,imagine complaining about the age of players lmao &quot;too good in ranked&quot; absolutely gold watching them complain about losing to &quot;boomers&quot; im glad yall dumpstered those kids made me feel better about gaming as a dad,0,0
145,UgzddW4jEC6NtE1C6Yx4AaABAg,I love the idea that being 28 means you are old broken shell of a human.,2,0
146,UgxzGYcsTwn3RBJrI3F4AaABAg,"<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=5m20s"">5:20</a> He says &quot;40 years of experience&quot; in a condescending way, like it&#39;s supposed to be an insult!? lol",8,0
147,UgyQo_L0CfgaammpLU94AaABAg,"Trashtalking someone for &quot;taking the game to serious&quot; is so damn pathetic. It&#39;s like blaming someone for actually being a good player. <br><br>I&#39;m generally not a fan of trashtalking, especially if you can&#39;t perform on the level you talk down to, but i at least can understand the jokes about age and &quot;boomer duo&quot;. Hiko and Shroud are legends for a long time and it&#39;s already a running gag. But trashtalking them for performing well in such a salty manner is just sad and sounds like an excuse for his own bad performance, so i&#39;m extra glad you guys destroyed them :D",0,0
148,UgzQI67lEXvYUKmFplR4AaABAg,"shroud is just so skilled when he chillin in ranked, players complain about him &quot;taking it to seriously&quot;",0,0
149,UgzH5MVAyapUVeccqdp4AaABAg,"When zoomers get put in their place, lmao. He was about to cry.",4,0
150,Ugze9HrW0MV3OkNGiSd4AaABAg,Yooo I&#39;m loving the fact that I&#39;m seeing Dashy in more and more Valorant videos even if it&#39;s only for a second or two,1,0
151,UgwEXfV6taltyLNqnm54AaABAg,it&#39;s so satisfying watching sinatra get steam rolled lmfao,9,0
152,UgxooTPZdsSMF7yO2ZB4AaABAg,shroud has more talent in his pinky toe than sinatraa has in his entire body,20,2
153,UgyjnK96lOUYmkLKIB54AaABAg,I like how there&#39;s a clip of Sinatraa calling them tryhards then most of the clips of Shroud&#39;s team is them running around doing random shit,2,0
154,UgwmkloovI-XrtsgMep4AaABAg,Dashy is such a freaking troll lmao he was fanboying whole time,1,0
155,Ugy9FF7CdF4Ocuzj81x4AaABAg,Sinatraa was so salty lmao,8,0
156,UgyorTurZEn6PfHTCxl4AaABAg,brings me so much serotonin to see sinatraa get shit on,5,0
157,Ugw9-ugt-P_J8sCgF5p4AaABAg,"this video can tell us something that &quot;you can say anything, but you have to win first&quot;",0,0
158,UgxtWIq5oa73bRBw-Xl4AaABAg,"I like how they insulted you guys for being old, but you guys are living definition of the Terminator quote: &quot;I&#39;m old. Not obsolete.&quot;",0,0
159,UgwrIyJ1ep7ohxRe2IN4AaABAg,My all time favourite SHROUD &lt;3,1,0
160,UgwimG7EWPobEKN6XRZ4AaABAg,It&#39;s really cool when Shroud upload..,18,0
161,UgxpDrtOFnXBsgOx9aR4AaABAg,"Bro shroud, hiko and Shaz are the wise ones of the valorant scene",0,0
162,UgxcHMoThi5ATdt-GD94AaABAg,Title should be &quot;2 Boomers bullying kids in Valorant&quot;. Lmao,10,0
163,UgxN3a_L1cDcSYYuNjp4AaABAg,Goes to show why Sinatraa still hasn&#39;t gotten picked up by an org 😂,3,0
164,UgxJT4lnMY-8X3AbexZ4AaABAg,I don&#39;t how the enemy team didn&#39;t drown from the crybaby&#39;s tears 😆,1,0
165,UgzI4YGZK_GTrsoqmLd4AaABAg,Immature fledglings.... <br>Shroud and hiko humbling them real quick 🙌,0,0
166,UgzJQ0qQooxfGJOluet4AaABAg,“That roster is like 120 years old.”<br><br>Does this child even know who he’s speaking to?,0,0
167,UgyUYauapite0OUX-LJ4AaABAg,Lol Sinatra saying &quot;he seems wise&quot; was gold,0,0
168,Ugy1ir6jQf_cEDzf2uZ4AaABAg,&quot;oMg ThEy&#39;Re TrYiNg In RaNkEd 😒&quot; aint that what you&#39;re supposed to do LOL,13,0
