Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
SEN TenZ SMURFING IN VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-10-27T20:09:09Z,10:34,739,33282,879017,q2PIIMt-zas,https://www.youtube.com/watch?v=q2PIIMt-zas
SEN TenZ ULTIMATE KAYO GUIDE !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-11-08T02:25:00Z,10:21,282,7919,179368,8DrfTBHvj9Y,https://www.youtube.com/watch?v=8DrfTBHvj9Y
I GOT +39 ELO IN VALORANT ??? | RANKED W/ Shroud,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-08-30T02:27:35Z,10:14,327,15398,401504,DQddR8yX2Hc,https://www.youtube.com/watch?v=DQddR8yX2Hc
SEN TenZ PLAYS GUN GAME IN VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-06-07T00:00:50Z,13:7,485,27067,715206,iQFIRH3pNAg,https://www.youtube.com/watch?v=iQFIRH3pNAg
AM I A RAZE MAIN NOW ??? | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-09-13T00:34:49Z,9:7,425,17705,441728,yHEjp1OuFC4,https://www.youtube.com/watch?v=yHEjp1OuFC4
HOW TO PLAY NEON LIKE SEN TenZ !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-07-03T23:11:45Z,9:39,279,15521,382365,8_H54gxj7jw,https://www.youtube.com/watch?v=8_H54gxj7jw
2 PROS VS 5 NOOBS IN VALORANT !!! | SEN TENZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-03-29T00:32:40Z,16:52,1056,76310,1853204,oJSdnwbFLVo,https://www.youtube.com/watch?v=oJSdnwbFLVo
2 PROS VS 5 NOOBS IN VALORANT !!! | SEN TENZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-03-29T00:32:40Z,16:52,1056,76310,1853204,oJSdnwbFLVo,https://www.youtube.com/watch?v=oJSdnwbFLVo
HOW TENZ PLAYS VALORANT BEING COLOR BLIND ???,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2020-12-12T20:28:00Z,8:39,1292,39658,1102451,Su17ycu3d2M,https://www.youtube.com/watch?v=Su17ycu3d2M
SEN TenZ SHOWS HOW TO OPTIMIZE PC FOR VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-08-14T00:27:30Z,9:50,847,52770,1286664,i-NucOextD4,https://www.youtube.com/watch?v=i-NucOextD4
THE FUNNIEST RANKED MATCH IN VALORANT !!! W/ KYEDAE,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2020-12-02T20:33:37Z,8:57,628,43837,1378076,Mm-KiWE8GLo,https://www.youtube.com/watch?v=Mm-KiWE8GLo
HOW TO CLIMB VALORANT RANKS !!! | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-11-03T21:59:25Z,9:54,486,27784,608595,IAtCBPCd3tA,https://www.youtube.com/watch?v=IAtCBPCd3tA
SEN TenZ REACTION TO LOUD WINNING VCT CHAMPIONS !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-09-23T19:08:49Z,19:41,290,9673,228969,Md5HLwTNpmU,https://www.youtube.com/watch?v=Md5HLwTNpmU
